"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"39","g__Bergeyella",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"40","g__Chryseobacterium",-0.448395561362518,0.389289703786286,0.202269433674213,0.318117999570338,-2.2168231413785,1.22372737258525,0.156943298601382,0.345657281607503,0.781108745895304,0.925024360256778,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"41","g__Pedobacter",-0.0659820565645906,-1.03841383298166,NA,0.27552925190614,NA,-3.76879705438827,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"42","g__Sphingobacterium",-0.441803824138967,-0.051705269968092,NA,0.27552925190614,NA,-0.187658005857417,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"43","g__0319-6G20",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"44","g__Campylobacter",-0.349756853047624,0.0693583719857785,NA,0.345459137677994,NA,0.200771565783355,1,0.859442439896862,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"45","g__A4b",1.57732096544272,-2.41193278736391,NA,0.27552925190614,NA,-8.75381750096554,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"46","g__KD4-96",1.12501614775542,-1.50732315198932,NA,0.27552925190614,NA,-5.47064655226804,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"47","g__Bacillus",-0.526728059948428,0.629991643250603,0.120791616236099,0.352077971777465,-4.36063425891155,1.78935262569848,0.00728591256048394,0.133576309542435,0.192348091596776,0.594084943179442,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"48","g__Sporosarcina",-1.0925482904912,1.44400118677855,NA,0.27552925190614,NA,5.24082716005215,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"49","g__Abiotrophia",0.614477108415825,-1.45902147793493,0.0979448370291021,0.283585174156339,6.27370596607606,-5.14491451210555,0.00329499483000838,0.00676822038751232,0.192348091596776,0.178681018230325,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"50","g__Atopostipes",0.463952658350701,-1.21399861049589,NA,0.279422450886783,NA,-4.34467096914765,1,0.144020592285925,1,0.594084943179442,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"51","g__Granulicatella",0.679978325788491,-1.11364577556031,0.151034164571979,0.290627345888792,4.50214908471542,-3.83186851242292,0.0063868818639131,0.0122244032078972,0.192348091596776,0.206239692127198,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"52","g__Enterococcus",0.969965448861018,-2.26684273341338,NA,0.316008060108673,NA,-7.17336998503717,1,0.0881793719447345,1,0.52358983502892,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"53","g__Lactobacillus",0.120064597306205,-0.338529601906176,0.492856866649026,0.640101625908482,0.24360946439183,-0.528868523690606,0.81164811473129,0.606540857788475,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"54","g__Listeria",-1.04718117547123,0.842971200788027,NA,0.27552925190614,NA,3.05946172668152,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"55","g__Lactococcus",-0.23693164833275,0.275833107775925,0.315284638084557,0.51388492684811,-0.751484911450735,0.536760456212902,0.486205965329446,0.614446948803712,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"56","g__Streptococcus",0.221052345055715,-0.140368264465983,0.395066592902328,0.643032303815515,0.559531858747584,-0.218291155254705,0.582335477942537,0.82952973943771,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"57","g__Gemella",-0.971141293557841,1.63768281379122,0.321745288606725,0.413317579318128,-3.01835435652606,3.96228686060967,0.0392266404977506,0.0166457453206772,0.465755744818386,0.219723838232939,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"58","g__Staphylococcus",-0.0455488575293237,0.610622452971168,0.627885922923949,0.805842330551473,-0.0725432054874093,0.7577443251874,0.942825117495408,0.456644499485573,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"59","g__Planifilum",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"60","g__Christensenellaceae_R-7_group",0.87577989755363,-1.90654636020521,NA,0.27552925190614,NA,-6.91957876347259,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"61","g__Clostridia_UCG-014",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"62","g__Blautia",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"63","g__Coprococcus",0.856887361947308,-1.6881129853438,NA,0.27552925190614,NA,-6.1268013238713,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"64","g__Lachnoclostridium",-0.0873860956268644,0.0197856261557736,NA,0.27552925190614,NA,0.0718095302727192,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"65","g__Tyzzerella",1.62254753161665,-3.2194333246825,NA,0.27552925190614,NA,-11.684542756931,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"66","g__Faecalibacterium",2.072249738346,-4.29948604178994,NA,0.27552925190614,NA,-15.604463090745,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"67","g__Peptostreptococcus",1.28387750508394,-0.413717937156695,NA,0.27552925190614,NA,-1.50153907178476,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"68","g__Anaerococcus",0.126153355565468,-0.0373224919596897,0.379249281723693,0.477677262030556,0.332639669064365,-0.0781332814566799,0.745659353663961,0.939125206249536,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"69","g__Fenollaria",-0.0734239722535496,-0.619262353013653,NA,0.369349691684003,NA,-1.67662886136497,1,0.342370290115531,1,0.925024360256778,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"70","g__Finegoldia",-1.33966322200024,2.40920471223552,0.449963043531361,0.539882246880791,-2.97727389228772,4.46246329853385,0.017673790677476,0.00210417053138204,0.291617546178354,0.0999817081190429,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"71","g__Peptoniphilus",-0.216895694864769,1.07280492609718,0.411257167479029,0.537724841497997,-0.527396753214834,1.99508157947205,0.614214872494486,0.0862426071721353,1,0.52358983502892,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"72","g__Dialister",-2.14945159147457,2.38489139718084,NA,0.402733540206721,NA,5.92176006983845,1,0.0273520660471295,1,0.300872726518424,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"73","g__Megasphaera",-0.9590355067878,2.16606680437501,NA,0.27552925190614,NA,7.86147673755122,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"74","g__Veillonella",-1.34477410322602,2.08000560723168,0.500072903186236,0.590384979363978,-2.68915611035458,3.52313436136616,0.0227326058907882,0.00550954451716435,0.333411553064894,0.178681018230325,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
