"","taxon","lfc_(Intercept)","lfc_treatmentTreated","se_(Intercept)","se_treatmentTreated","W_(Intercept)","W_treatmentTreated","p_(Intercept)","p_treatmentTreated","q_(Intercept)","q_treatmentTreated","diff_(Intercept)","diff_treatmentTreated","passed_ss_(Intercept)","passed_ss_treatmentTreated","diff_robust_(Intercept)","diff_robust_treatmentTreated"
"184","g__Haemophilus",-0.132273385224302,0.721178837250243,0.412760790839228,0.380941525453415,-0.320460150673135,1.89314839434179,0.750464755465695,0.0632967392201564,1,0.532889382073595,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"185","g__Acinetobacter",-0.0754694284497416,0.330484943237233,0.394196022962724,0.275047957287062,-0.1914515217138,1.20155389080862,0.850208128907232,0.233328358969786,1,0.673062573951306,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"186","g__Enhydrobacter",-0.167153117314363,0.468168661977128,0.549959034358289,0.519722213752938,-0.303937396917942,0.900805564181027,0.76326345444854,0.373055612799154,1,0.749442079284015,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"187","g__Moraxella",-1.18252944285322,0.56482061304859,1.10542966996336,0.459806404520039,-1.06974642981349,1.22838787693305,0.31974935464713,0.330059849548685,1,0.714071789888982,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"188","g__Psychrobacter",0.187277104944896,-0.261795631527119,0.651354819168462,0.821112731736726,0.287519335750028,-0.318830315751405,0.779388361196822,0.755080965719334,1,0.969501548176296,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"189","g__Pseudomonas",-0.051522965822048,0.415883398579108,0.384850709474414,0.278131678779032,-0.133877798724633,1.49527518909313,0.897166307160832,0.138789549745056,1,0.562453493839222,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"190","g__Photobacterium",-1.06517906494516,1.35627018995211,0.842654025222529,0.672493699121223,-1.26407639797824,2.01677754263632,0.307858565941363,0.112568742730223,1,0.541181840647149,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"191","g__Luteimonas",0.275947802876287,-0.509828789083579,0.725736641948828,1.1285670230366,0.380231322116079,-0.45174879176586,0.737295277745048,0.714255696097221,1,0.950932139774406,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"192","g__Stenotrophomonas",0.061857330663615,-0.0567202702192351,0.553930866309926,0.569111107140171,0.111669766799032,-0.0996646691790272,0.911951745660726,0.921286207848787,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"193","g__Xanthomonas",0.157998430345892,-0.222278169326113,0.640222407137122,0.649230872227116,0.246786786255127,-0.342371533509508,0.818763993765223,0.736697683750132,1,0.958132825686588,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"194","g__Treponema",-0.281358087453444,0.299999136139608,0.518129221238712,0.374675984297707,-0.543026866504054,0.800689525649547,0.598394048437702,0.450964011159547,1,0.821376950319151,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"195","g__Acari",0.697877379088678,-0.670271011451381,1.1319438318005,0.723941198208696,0.616530042819012,-0.925863886611073,0.55546403718811,0.439262006711536,1,0.821376950319151,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"196","g__Phyllosticta",0.46359281076442,-1.29448714174037,0.567753763472191,0.571150476975258,0.816538507696087,-2.2664555032779,0.483685349853733,0.093501073348954,1,0.541181840647149,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"197","g__Cladosporium",-0.119280684873623,0.305155467888469,0.557516539378193,0.36257986217576,-0.213950038157897,0.841622769828694,0.840262490030183,0.40332215236271,1,0.779301691655219,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"198","g__Neophaeosphaeria",-1.0039266984121,0.723529025185777,0.916493968407795,0.52723759147052,-1.09539913302016,1.37230166606251,0.30893465592664,0.313546603718525,1,0.714071789888982,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
